date,monthly_sales,lag_1,lag_2,lag_7,lag_14,lag_30,roll_7,roll_30,volatility
2016-07-05,1019061137961.2903,1019190615329.0322,1019320092696.7742,1019975477760.0,1020909813120.0,1023045436800.0,1019450141366.2673,1020978550916.129,280631241.0117825
2016-07-06,1018931660593.5483,1019061137961.2903,1019190615329.0322,1019842001280.0,1020776336640.0,1022911960320.0,1019320092696.7742,1020845874258.5806,279703082.2203506
2016-07-07,1018802183225.8064,1018931660593.5483,1019061137961.2903,1019708524800.0,1020642860160.0,1022778483840.0,1019190615329.0322,1020713330904.7742,279703082.220473
2016-07-08,1018672705858.0646,1018802183225.8064,1018931660593.5483,1019579047432.258,1020509383680.0,1022645007360.0,1019061137961.2903,1020580920854.7096,279703082.22056484
2016-07-09,1018543228490.3226,1018672705858.0646,1018802183225.8064,1019449570064.5161,1020375907200.0,1022511530880.0,1018931660593.5482,1020448644108.3871,279703082.22065663
2016-07-10,1018413751122.5807,1018543228490.3226,1018672705858.0646,1019320092696.7742,1020242430720.0,1022378054400.0,1018802183225.8065,1020316500665.8065,279703082.2207485
2016-07-11,1018284273754.8387,1018413751122.5807,1018543228490.3226,1019190615329.0322,1020108954240.0,1022244577920.0,1018672705858.0646,1020184490526.9677,279703082.22084033
2016-07-12,1018154796387.0968,1018284273754.8387,1018413751122.5807,1019061137961.2903,1019975477760.0,1022111101440.0,1018543228490.3225,1020052613691.871,279703082.2209321
2016-07-13,1018025319019.3549,1018154796387.0968,1018284273754.8387,1018931660593.5483,1019842001280.0,1021977624960.0,1018413751122.5807,1019920870160.5161,279703082.221024
2016-07-14,1017895841651.6129,1018025319019.3549,1018154796387.0968,1018802183225.8064,1019708524800.0,1021844148480.0,1018284273754.8387,1019789259932.9032,279703082.2211158
2016-07-15,1017766364283.871,1017895841651.6129,1018025319019.3549,1018672705858.0646,1019579047432.258,1021710672000.0,1018154796387.0968,1019657783009.0323,279703082.22117704
2016-07-16,1017636886916.129,1017766364283.871,1017895841651.6129,1018543228490.3226,1019449570064.5161,1021577195520.0,1018025319019.3549,1019526439388.9032,279703082.22123826
2016-07-17,1017507409548.3871,1017636886916.129,1017766364283.871,1018413751122.5807,1019320092696.7742,1021443719040.0,1017895841651.613,1019395229072.5161,279703082.2212994
2016-07-18,1017377932180.6451,1017507409548.3871,1017636886916.129,1018284273754.8387,1019190615329.0322,1021310242560.0,1017766364283.871,1019264152059.871,279703082.2213606
2016-07-19,1017248454812.9032,1017377932180.6451,1017507409548.3871,1018154796387.0968,1019061137961.2903,1021176766080.0,1017636886916.129,1019133208350.9677,279703082.22142184
2016-07-20,1017118977445.1613,1017248454812.9032,1017377932180.6451,1018025319019.3549,1018931660593.5483,1021043289600.0,1017507409548.3871,1019002397945.8065,279703082.22148305
2016-07-21,1016989500077.4193,1017118977445.1613,1017248454812.9032,1017895841651.6129,1018802183225.8064,1020909813120.0,1017377932180.6451,1018871720844.3871,279703082.22154427
2016-07-22,1016860022709.6774,1016989500077.4193,1017118977445.1613,1017766364283.871,1018672705858.0646,1020776336640.0,1017248454812.9032,1018741177046.7096,279703082.2216055
